contract_reference,status,start_date,end_date,next_contract_payment_due_date,cumulative_amount_paid,expected_cumulative_amount_paid,nominal_contract_value,deposit_amount,birthdate,gender,l3_entity_id,name,expected_payment_progression
abc0021,Completed,2022-04-12T10:23:14.736374,2022-04-12T10:23:14.736374,2022-04-12T10:23:14.736374,0.00,0.00,0.00,0.00,1968-01-01,0,5121,Cash Sales IPP,1.0
abc0022,Active,2022-07-15T11:33:30.41634,,2022-09-25T06:24:05.711662,4420.00,4345.24,8951.86,2000.00,1966-02-27,0,5087,Individual loan,0.485400799386943
abc0023,Active,2022-08-22T12:17:22.864434,,2022-09-05T12:17:22.864434,2000.00,2626.10,5711.86,2000.00,1972-12-24T09:00:00,1,5078,Individual Loan Duka Credit,0.45976266925309794
abc0024,Completed,2022-05-31T06:38:42.77942,2022-05-31T06:38:42.77942,2022-05-31T06:38:42.77942,0.00,0.00,0.00,0.00,1988-07-10,1,5084,Cash Sales,1.0
abc0025,Active,2022-06-03T13:38:20.816017,,2022-07-29T02:14:57.426187,2200.00,3152.00,3391.86,1500.00,1995-12-07,1,5121,Individual Loan IPP,0.9292836378859977
abc0026,Active,2022-05-27T10:40:43.883263,,2022-06-27T13:14:45.868649,2500.00,5273.52,6851.86,2000.00,1978-12-31,0,5073,Individual loan,0.7696479496078437
abc0027,Active,2022-05-30T06:58:15.3667,,2022-08-02T02:42:54.800506,4500.00,7380.32,9881.86,2192.00,,0,5121,Individual Loan IPP,0.7468553490941988
abc0028,Active,2022-05-30T10:02:30.684218,,2022-08-01T15:11:58.483609,1010.00,1392.72,1721.86,710.00,1969-05-08,1,5087,Individual loan,0.8088462476624115
abc0029,Completed,2022-06-02T07:36:28.511706,2022-06-02T07:36:28.511706,2022-06-02T07:36:28.511706,0.00,0.00,0.00,0.00,1988-02-14,0,5076,Cash Sales,1.0
abc0030,Completed,2022-05-30T08:34:33.665317,2022-05-30T08:34:33.665317,2022-05-30T08:34:33.665317,0.00,0.00,0.00,0.00,1954-01-01,0,5084,Cash Sales,1.0
abc0031,Active,2022-07-26T09:36:31.751414,,2022-09-28T16:25:07.231624,3000.00,3170.52,6451.86,1500.00,1970-01-01T09:00:00,1,5081,Individual loan,0.491411778928867
abc0032,Active,2022-08-23T06:39:54.898228,,2022-09-10T13:01:56.971165,1600.00,2156.46,5391.86,1500.00,1988-03-28T09:00:00,0,5083,Individual loan,0.3999473280092584
abc0033,Active,2022-05-13T07:42:33.696523,,2022-09-29T01:44:20.840017,5200.00,5230.03,6191.86,2200.00,1975-05-04,0,5121,Individual Loan IPP,0.8446621855145303
abc0034,Completed,2022-07-15T12:33:49.126491,2022-07-15T12:33:49.126491,2022-07-15T12:33:49.126491,0.00,0.00,0.00,0.00,1976-10-04,0,5121,Cash Sales IHD,1.0
abc0035,Completed,2022-05-27T07:33:51.283998,2022-05-27T07:33:51.283998,2022-05-27T07:33:51.283998,0.00,0.00,0.00,0.00,1982-01-01,0,5087,Cash Sales,1.0
abc0036,Active,2022-09-12T07:40:24.982616,,2022-10-11T10:00:57.42603,2000.00,1363.00,8366.86,1363.00,1970-01-01T09:00:00,1,5083,Individual loan,0.16290460220441122
abc0037,Active,2022-04-07T11:36:41.785703,,2022-07-14T02:37:29.928347,9300.00,13211.79,13211.79,5280.00,1969-02-12,1,5121,Group Loan  IPP,1.0
abc0038,Active,2022-06-13T10:59:06.571215,,2022-09-05T09:42:11.098545,4095.00,4935.24,6971.86,2000.00,1998-12-12,1,5121,Individual Loan IPP,0.7078799631662139
abc0039,Active,2022-09-10T07:45:26.89906,,2022-09-24T07:45:26.89906,2700.00,2700.00,10441.86,2700.00,1953-01-01T09:00:00,1,5083,Individual loan,0.2585746217627894
abc0040,Active,2022-06-08T13:42:07.364903,,2022-07-14T19:28:33.435946,2000.00,3703.18,5231.86,1500.00,1959-07-01,0,5081,Individual loan,0.7078132824655095
abc0041,Active,2022-09-12T11:46:36.656378,,2022-09-26T11:46:36.656378,1500.00,1500.00,4551.86,1500.00,1948-01-01T09:00:00,0,5121,Individual Loan IHD,0.3295356184065415
abc0042,Active,2022-06-06T09:18:21.34003,,2022-12-03T08:57:24.327073,13931.00,9658.60,13931.86,3500.00,1960-01-01,0,5121,Individual Loan IPP,0.6932742648863828
abc0043,Active,2022-06-06T05:26:22.450761,,2022-07-19T10:35:58.477275,1840.00,2640.51,3431.86,1500.00,1991-08-08,0,5081,Individual loan,0.7694107568490556
abc0044,Active,2022-06-03T13:35:35.157401,,2022-06-19T09:21:05.925129,1540.00,3649.98,5141.86,1500.00,1968-01-01,0,5121,Individual Loan IPP,0.7098559665179527
abc0045,Active,2022-05-19T07:44:44.255216,,2022-08-26T02:16:24.213503,9500.00,11688.53,13811.86,5000.00,1954-08-25,1,5121,Individual Loan IPP,0.8462676279661103
abc0046,Active,2022-09-21T09:47:37.294287,,2022-10-25T06:23:21.975138,1000.00,800.00,2471.86,800.00,1973-11-04T09:00:00,1,5121,Individual Loan IHD,0.32364292476111106
abc0047,Active,2022-08-26T09:00:03.557033,,2022-10-22T09:10:06.427091,1700.00,1227.87,3701.86,1000.00,1974-01-01T09:00:00,1,5121,Individual Loan IHD,0.3316900152896112
abc0048,Active,2022-09-14T12:22:35.963876,,2022-10-24T04:30:48.873412,740.00,500.00,2051.86,500.00,1956-01-01T09:00:00,1,5084,Individual loan,0.24368134278167125
abc0049,Active,2022-07-25T07:09:15.750831,,2022-08-19T21:01:19.406233,3756.00,5889.28,11171.86,3200.00,1993-02-04,1,5076,Individual loan,0.5271530434502402
abc0050,Active,2022-08-29T10:10:42.036036,,2022-11-15T10:48:19.93722,1160.00,722.45,2051.86,600.00,1970-01-01T09:00:00,0,5083,Individual loan,0.3520951721852368
abc0051,Active,2022-07-22T10:46:28.791447,,2022-08-05T10:46:28.791447,1000.00,1941.84,3791.86,1000.00,1993-05-07T09:00:00,1,5073,Individual loan,0.512107514517941
abc0052,Completed,2022-05-24T08:21:09.960216,2022-05-24T08:21:09.960216,2022-05-24T08:21:09.960216,0.00,0.00,0.00,0.00,1971-08-28,0,5072,Cash Sales,1.0
abc0053,Active,2022-07-27T09:46:56.640219,,2022-09-29T07:44:42.175023,2250.00,2378.00,4691.86,1200.00,1968-10-10T09:00:00,0,5084,Individual loan,0.506835242313283
abc0054,Active,2022-07-22T07:58:32.385585,,2022-08-05T07:58:32.385585,3300.00,6643.76,13211.86,3300.00,1964-01-01,1,5121,Individual Loan IHD,0.5028633364265137
abc0055,Completed,2022-07-22T12:53:28.192905,2022-07-22T12:53:28.192905,2022-07-22T12:53:28.192905,0.00,0.00,0.00,0.00,1965-01-01,1,5084,Cash Sales,1.0
abc0056,Active,2022-06-04T06:00:18.173305,,2022-10-09T03:44:55.276851,5300.00,4864.33,6851.86,2000.00,1954-01-01,1,5083,Individual loan,0.709928399004066
abc0057,Active,2022-07-22T08:28:31.661512,,2022-11-13T09:45:59.321545,5720.00,4082.08,8171.86,2000.00,1963-01-01T09:00:00,1,5083,Individual loan,0.49952887102813803
abc0058,Active,2022-06-04T06:25:02.99196,,2022-10-04T22:45:57.554352,10000.00,9312.04,13691.86,3000.00,1955-05-06,0,5083,Individual loan,0.6801150464582606
abc0059,Completed,2022-03-29T12:04:49.271227,2022-03-29T12:04:49.271227,2022-03-29T12:04:49.271227,0.00,0.00,0.00,0.00,1946-01-01,1,5121,Cash Sales IPP,1.0
abc0060,Active,2022-09-13T07:43:50.696245,,2022-09-27T07:43:50.696245,1500.00,1500.00,4091.86,1500.00,1951-12-24,0,5083,Individual loan,0.366581456843587
abc0061,Active,2022-05-31T10:55:01.956085,,2022-06-14T10:55:01.956085,2000.00,5273.52,6851.86,2000.00,1973-07-13,1,5121,Individual Loan IPP,0.7696479496078437
abc0062,Active,2022-08-03T12:21:14.262499,,2022-08-17T12:21:14.262499,2500.00,3935.05,8171.86,2500.00,1970-01-01T09:00:00,0,5084,Individual loan,0.4815366391494715
abc0063,Active,2022-09-05T10:21:23.427802,,2022-09-19T10:21:23.427802,550.00,665.28,1916.86,550.00,1973-01-01T09:00:00,0,5073,Individual loan,0.34706760013772525
abc0064,Active,2022-07-26T09:09:24.150727,,2022-08-09T09:09:24.150727,1000.00,1921.56,3731.86,1000.00,1988-04-02T09:00:00,0,5073,Individual loan,0.5149067757096997
abc0065,Completed,2022-09-15T05:19:24.371445,2022-09-15T05:19:24.371445,2022-09-15T05:19:24.371445,0.00,0.00,0.00,0.00,1960-01-05T09:00:00,0,5081,Cash Sales,1.0
abc0066,Completed,2022-08-03T07:47:33.079382,2022-09-16T11:53:54.536954,2023-01-30T07:46:53.318683,4091.86,1782.28,4091.86,1000.00,1983-01-06T09:00:00,1,5073,Individual loan,0.43556719926879217
abc0067,Active,2022-07-05T13:11:28.714242,,2022-08-08T15:12:02.611397,4200.00,6933.95,12191.86,3100.00,1963-01-01,1,5076,Individual loan,0.568736025512104
abc0068,Active,2022-06-14T08:59:22.381956,,2022-06-28T08:59:22.381956,1000.00,2471.12,3491.86,1000.00,1962-03-15,1,5072,Individual loan,0.7076801475431432
abc0069,Active,2022-06-08T09:50:41.009561,,2022-08-29T01:32:57.9968,7950.00,9721.73,13691.86,4000.00,1993-02-08,1,5076,Individual loan,0.7100372045872511
abc0070,Completed,2022-06-14T08:57:01.338583,2022-06-14T08:57:01.338583,2022-06-14T08:57:01.338583,0.00,0.00,0.00,0.00,1960-01-01,0,5072,Cash Sales,1.0
abc0071,Active,2022-07-25T13:20:01.864982,,2023-01-09T08:51:34.88123,3698.00,1982.28,3911.86,1000.00,1978-02-28T09:00:00,1,5083,Individual loan,0.5067359261323258
abc0072,Active,2022-09-16T09:17:12.06363,,2022-09-30T09:17:12.06363,520.00,520.00,2711.86,520.00,1989-12-18T09:00:00,1,5076,Individual loan,0.19175031159425635
abc0073,Active,2022-07-16T06:49:51.67761,,2022-08-14T13:33:18.614808,3000.00,4332.44,7931.86,2500.00,1984-05-07T09:00:00,1,5074,Individual loan,0.5462073208553857
abc0074,Active,2022-07-25T05:26:17.459138,,2022-09-26T10:59:50.709481,2200.00,2337.48,4571.86,1200.00,1979-11-22,1,5087,Individual loan,0.5112754983748409
abc0075,Active,2022-06-14T09:01:31.017603,,2022-08-03T05:02:39.393671,1436.00,2417.91,3491.86,870.00,1986-05-13,0,5121,Individual Loan IPP,0.692441850475105
abc0076,Active,2022-06-09T08:09:12.432348,,2022-06-23T08:09:12.432348,1000.00,2471.12,3491.86,1000.00,,1,5087,Individual loan,0.7076801475431432
abc0077,Active,2022-06-10T10:42:04.806519,,2022-07-10T05:27:48.939086,800.00,1320.97,1751.86,700.00,,0,5083,Individual loan,0.7540385647254918
abc0078,Active,2022-09-17T07:01:22.73866,,2022-10-02T11:58:38.164572,2020.00,2000.00,4751.86,2000.00,1952-01-01,0,5083,Individual loan,0.4208878207691304
abc0079,Active,2022-06-08T12:45:52.217392,,2022-06-22T12:45:52.217392,2000.00,4935.24,6971.86,2000.00,1973-01-01,0,5076,Individual loan,0.7078799631662139
abc0080,Active,2022-08-05T13:32:20.046132,,2022-09-17T03:02:36.020834,3000.00,3470.45,7811.86,2000.00,1988-05-10T09:00:00,1,5083,Individual loan,0.44425399328713006
abc0081,Active,2022-08-24T14:00:15.53259,,2022-09-23T16:19:56.341621,3050.00,3456.70,8171.86,2500.00,1987-06-05T09:00:00,0,5073,Individual loan,0.4230003940351401
abc0082,Active,2022-07-04T12:15:12.413057,,2022-08-14T05:36:34.048515,3500.00,5119.45,8711.86,2500.00,1954-01-01,0,5074,Individual loan,0.5876414451104586
abc0083,Active,2022-08-05T10:09:55.088222,,2022-08-30T20:21:41.339242,2400.00,3470.48,7811.86,2000.00,1986-02-05T09:00:00,1,5087,Individual loan,0.44425783360172866
abc0084,Active,2022-05-27T09:55:08.927246,,2022-07-07T12:03:25.818451,6000.00,10701.76,13691.86,4500.00,1974-10-09,0,5076,Individual loan,0.7816147696514572
abc0085,Active,2022-06-08T05:39:16.179351,,2022-06-22T05:39:16.179351,2000.00,4864.33,6851.86,2000.00,2000-03-25,0,5076,Individual loan,0.709928399004066
abc0086,Active,2022-09-12T12:17:16.607807,,2022-09-26T12:17:16.607807,2500.00,2500.00,9086.86,2500.00,1982-06-06T09:00:00,1,5083,Individual loan,0.2751225395791285
abc0087,Completed,2022-07-22T10:26:21.148329,2022-07-22T10:26:21.148329,2022-07-22T10:26:21.148329,0.00,0.00,0.00,0.00,1979-01-01,0,5121,Cash Sales IHD,1.0
abc0088,Active,2022-07-22T10:05:44.82512,,2022-08-17T13:46:30.400015,1200.00,1921.56,3731.86,1000.00,1982-02-23,1,5074,Individual loan,0.5149067757096997
abc0089,Active,2022-09-08T12:57:05.356725,,2022-09-22T12:57:05.356725,200.00,949.50,9086.86,200.00,1984-07-15,1,5121,Individual Loan IHD,0.10449154053215302
abc0090,Active,2022-09-08T07:27:56.184654,,2022-09-22T07:27:56.184654,1065.00,1358.66,4546.86,1065.00,1970-01-01T09:00:00,0,5083,Individual loan,0.29881280708005087
abc0091,Active,2022-07-25T13:38:48.983451,,2022-09-11T09:52:13.544454,3700.00,4879.80,10736.86,1898.00,1984-05-28T09:00:00,1,5083,Individual loan,0.45449041898655657
abc0092,Active,2022-05-31T12:23:40.055135,,2022-11-10T06:29:41.527801,3200.00,2705.84,3431.86,1200.00,1957-01-01,1,5073,Individual loan,0.78844708117464
abc0093,Active,2022-07-19T10:30:13.41098,,2022-08-02T10:30:13.41098,800.00,1428.12,2661.86,800.00,1970-01-01T09:00:00,0,5083,Individual loan,0.5365120629935458
abc0094,Active,2022-08-05T11:56:31.378294,,2022-09-04T08:49:46.75323,2200.00,2529.29,4091.86,2000.00,1994-02-02T09:00:00,1,5078,Individual loan,0.6181272086532775
abc0095,Active,2022-07-19T12:53:01.838824,,2022-08-02T12:53:01.838824,900.00,1855.32,3731.86,900.00,1993-10-13T09:00:00,0,5121,Individual Loan IHD,0.49715691371058934
abc0096,Active,2022-08-06T07:14:53.717137,,2022-10-30T11:27:57.755013,1451.00,1266.13,2051.86,1000.00,1958-12-23T09:00:00,1,5072,Individual loan,0.6170645170723149
abc0097,Active,2022-05-19T07:42:36.515055,,2022-07-28T20:03:43.153913,8000.00,11688.53,13811.86,5000.00,1993-05-05,0,5121,Individual Loan IPP,0.8462676279661103
abc0098,Active,2022-08-29T07:28:20.276946,,2022-09-28T10:46:38.286629,2600.00,2520.52,8171.86,2000.00,1970-01-01T09:00:00,1,5083,Individual loan,0.3084389600409209
abc0099,Active,2022-08-02T09:34:08.420348,,2022-08-17T07:36:06.453135,2001.00,4283.25,11171.86,1950.00,1970-01-01T09:00:00,0,5073,Individual loan,0.383396318965687
abc0100,Completed,2022-07-22T12:27:34.216725,2022-08-17T11:02:26.280427,2023-01-18T12:26:09.779882,3911.86,1982.32,3911.86,1000.00,1965-05-12T09:00:00,1,5087,Individual loan,0.5067461514471376
abc0101,Active,2022-05-19T07:39:13.411775,,2022-08-16T16:07:22.263586,9000.00,11688.53,13811.86,5000.00,1992-04-02,1,5121,Individual Loan IPP,0.8462676279661103
abc0102,Active,2022-07-22T12:40:17.202981,,2022-08-07T00:24:03.649114,2000.00,5039.12,11171.86,1917.00,1992-02-25T09:00:00,1,5084,Individual loan,0.4510547035140075
abc0103,Active,2022-07-23T06:55:10.881361,,2022-08-14T10:05:40.320233,1000.00,1882.92,3911.86,850.00,1986-01-01T09:00:00,0,5087,Individual loan,0.48133624413961645
abc0104,Active,2022-08-04T08:33:12.103553,,2022-11-29T01:38:34.08855,3280.00,2227.86,4376.86,1500.00,1973-01-01T09:00:00,1,5078,Individual loan,0.5090087414265021
abc0105,Completed,2022-07-22T12:46:53.112551,2022-07-22T12:46:53.112551,2022-07-22T12:46:53.112551,0.00,0.00,0.00,0.00,1948-12-27T09:00:00,1,5081,Cash Sales,1.0
abc0106,Active,2022-08-02T11:42:15.327582,,2022-08-16T11:42:15.327582,1200.00,1992.39,4331.86,1200.00,1966-01-01T09:00:00,0,5078,Individual loan,0.4599386868458353
abc0107,Active,2022-07-06T10:42:30.089898,,2022-10-05T09:40:26.607048,4750.00,4501.40,7931.86,2000.00,1997-12-28T09:00:00,1,5078,Individual loan,0.567508755827763
abc0108,Completed,2022-07-22T13:23:59.464192,2022-09-03T14:40:06.571272,2023-01-18T13:21:54.438654,7611.86,3919.68,7611.86,2040.00,1988-11-09,1,5087,Individual loan,0.5149437850932623
abc0109,Active,2022-09-10T10:25:14.208191,,2022-09-28T12:28:39.725102,2146.00,2000.00,7931.86,2000.00,1975-05-13T09:00:00,1,5083,Individual loan,0.2521476677601471
abc0110,Completed,2022-08-02T11:31:45.235928,2022-08-02T11:31:45.235928,2022-08-02T11:31:45.235928,0.00,0.00,0.00,0.00,1970-01-01T09:00:00,0,5121,Cash Sales IHD,1.0
abc0111,Active,2022-08-02T08:42:58.534233,,2023-01-10T00:11:56.799631,4900.00,2402.42,5361.86,1400.00,1970-01-01T09:00:00,1,5083,Individual loan,0.4480572040299448
abc0112,Active,2022-07-23T09:29:45.172213,,2022-09-01T23:29:04.15866,1880.00,2521.84,4921.86,1300.00,1970-01-01T09:00:00,1,5083,Individual loan,0.5123754027948784
abc0113,Active,2022-07-23T09:51:26.261179,,2022-08-06T09:51:26.261179,4500.00,7983.80,14826.86,4500.00,1970-01-01T09:00:00,1,5083,Individual loan,0.5384686980250707
abc0114,Active,2022-09-03T04:42:00.277012,,2022-09-17T04:42:00.277012,1500.00,1855.21,5711.86,1500.00,1988-12-30,1,5073,Individual loan,0.3247996274418491
abc0115,Active,2022-09-09T07:44:25.084205,,2022-10-17T08:19:00.759881,1100.00,900.00,2281.86,900.00,1963-01-01T09:00:00,1,5083,Individual loan,0.39441508243275225
abc0116,Active,2022-08-03T13:09:10.645776,,2022-10-12T20:39:10.186892,5640.00,4918.18,11171.86,2800.00,1987-08-31,0,5081,Individual loan,0.44022929037778846
abc0117,Active,2022-07-06T08:27:49.000346,,2022-07-20T08:27:49.000346,3400.00,7959.25,14211.86,3400.00,1946-01-01T09:00:00,0,5084,Individual loan,0.5600428093155998
abc0118,Active,2022-07-23T07:09:37.636611,,2022-08-06T07:09:37.636611,2200.00,4312.44,8461.86,2200.00,1969-01-01T09:00:00,1,5087,Individual loan,0.5096326339599095
abc0119,Active,2022-07-06T09:59:53.366776,,2022-08-15T14:29:42.826763,2200.00,3739.20,7111.86,1280.00,1970-01-01T09:00:00,0,5081,Individual loan,0.5257696298858526
abc0120,Active,2022-07-25T14:22:27.306129,,2022-10-27T09:45:42.069761,2400.00,1982.36,3911.86,1000.00,1952-01-01T09:00:00,1,5121,Individual Loan IHD,0.5067563767619495
abc0121,Active,2022-08-01T09:49:26.964589,,2022-11-04T14:46:23.839398,2400.00,1756.43,3791.86,1067.00,1970-01-01T09:00:00,1,5083,Individual loan,0.46321066706049274
abc0122,Active,2022-09-09T14:24:19.992277,,2022-09-23T14:24:19.992277,3000.00,3000.00,9091.86,3000.00,1968-03-12T09:00:00,0,5074,Individual loan,0.32996548561020517
abc0123,Active,2022-08-23T11:23:27.142695,,2022-09-06T11:23:27.142695,2500.00,2987.78,5391.86,2500.00,1959-01-01T09:00:00,1,5087,Individual loan,0.5541278890772386
abc0124,Active,2022-07-06T11:23:25.515695,,2022-08-04T23:18:52.470234,4500.00,8017.05,14211.86,3500.00,1970-01-01T09:00:00,0,5084,Individual loan,0.5641098350251128
abc0125,Active,2022-09-16T10:17:51.458738,,2022-11-06T05:21:06.289653,800.00,378.00,2281.86,378.00,1970-01-01T09:00:00,1,5084,Individual loan,0.16565433462175594
abc0126,Active,2022-05-20T07:31:26.603648,,2022-06-09T21:45:54.378181,5350.00,10945.36,13811.86,5000.00,1973-07-01,0,5121,Individual Loan IPP,0.7924609719472975
abc0127,Active,2022-09-03T07:31:22.111772,,2022-09-17T10:01:39.108094,1003.00,1402.44,5771.86,1000.00,1970-01-01T09:00:00,1,5072,Individual loan,0.24297886643127173
abc0128,Active,2022-05-24T07:39:29.042912,,2022-08-16T19:11:42.022701,4060.00,5273.52,6851.86,2000.00,,0,5087,Individual loan,0.7696479496078437
abc0129,Active,2022-07-23T05:21:53.025477,,2022-08-06T05:21:53.025477,4000.00,6662.32,11891.86,4000.00,1992-10-10T09:00:00,0,5074,Individual loan,0.5602420479218558
abc0130,Active,2022-07-26T07:24:51.199581,,2022-10-02T04:16:43.826559,4850.00,4899.44,7451.86,3600.00,1974-01-01T09:00:00,1,5084,Individual loan,0.657478803949618
abc0131,Active,2022-07-25T10:39:23.135546,,2022-11-26T20:04:50.907191,1800.00,1553.64,2051.86,1300.00,1956-01-01,1,5072,Individual loan,0.7571861627986315
abc0132,Active,2022-06-13T06:03:48.721619,,2022-08-27T21:18:59.650922,3200.00,3907.99,5231.86,2000.00,1985-04-29,0,5083,Individual loan,0.7469599721705091
abc0133,Active,2022-08-22T09:38:36.986433,,2022-09-30T23:50:49.424053,2100.00,2156.46,5391.86,1500.00,1978-06-10T09:00:00,1,5072,Individual loan,0.3999473280092584
abc0134,Active,2022-07-06T11:20:56.22083,,2022-08-20T11:11:50.129908,5500.00,8017.05,14211.86,3500.00,1970-01-01T09:00:00,1,5084,Individual loan,0.5641098350251128
abc0135,Completed,2022-06-14T11:18:24.47841,2022-06-14T11:18:24.47841,2022-06-14T11:18:24.47841,0.00,0.00,0.00,0.00,,0,5084,Cash Sales,1.0
abc0136,Active,2022-07-06T09:56:19.739525,,2022-07-20T09:56:19.739525,2000.00,4552.00,8051.86,2000.00,1992-11-12T09:00:00,1,5072,Individual loan,0.565335214472184
abc0137,Active,2022-07-23T07:58:33.348617,,2022-08-15T11:51:24.580866,900.00,1411.24,2611.86,800.00,1989-06-04,1,5083,Individual loan,0.5403199252639881
abc0138,Active,2022-08-05T07:15:52.183295,,2022-10-11T05:06:20.754724,1090.00,997.21,2051.86,640.00,1983-01-28T09:00:00,0,5072,Individual loan,0.4860029436706208
abc0139,Completed,2022-05-19T07:03:37.51522,2022-05-19T07:03:37.51522,2022-05-19T07:03:37.51522,0.00,0.00,0.00,0.00,1961-12-25,1,5121,Cash Sales IPP,1.0
abc0140,Active,2022-07-23T08:02:20.707263,,2022-08-19T18:47:35.715332,2500.00,4082.08,8171.86,2000.00,1967-01-25T09:00:00,0,5081,Individual loan,0.49952887102813803
abc0141,Active,2022-07-26T05:26:58.732085,,2022-08-19T18:54:02.35734,610.00,1040.28,2081.86,510.00,1979-01-24T09:00:00,1,5121,Individual Loan IHD,0.49968777919744845
abc0142,Active,2022-09-14T05:38:03.748439,,2022-09-28T05:38:03.748439,1500.00,1500.00,5691.86,1500.00,1989-05-03T09:00:00,1,5073,Individual loan,0.263534240125372
abc0143,Completed,2022-05-30T10:27:55.633206,2022-05-30T10:27:55.633206,2022-05-30T10:27:55.633206,0.00,0.00,0.00,0.00,,0,5084,Cash Sales,1.0
abc0144,Active,2022-09-14T12:51:41.024876,,2023-02-04T11:21:19.066419,3250.00,1574.00,3731.86,1574.00,1964-06-13T09:00:00,0,5087,Individual loan,0.42177359279287
abc0145,Active,2022-06-07T09:21:13.262726,,2022-07-28T10:39:18.18152,650.00,1156.59,1721.86,342.00,1961-02-22,0,5087,Individual loan,0.6717096628064999
abc0146,Completed,2022-06-15T12:16:18.658284,2022-08-02T12:14:24.815771,2022-06-15T12:16:18.658284,0.00,0.00,0.00,0.00,2000-04-09,1,5072,Cash Sales,1.0
abc0147,Active,2022-06-09T07:40:17.134567,,2022-08-23T17:45:03.752559,6401.00,8426.54,12191.86,3000.00,1981-11-26,0,5121,Individual Loan IPP,0.6911611517848795
abc0148,Active,2022-06-08T06:07:39.105744,,2022-07-02T06:31:00.231376,2300.00,4935.24,6971.86,2000.00,2000-06-06,0,5087,Individual loan,0.7078799631662139
abc0149,Active,2022-06-20T10:15:26.543912,,2022-07-10T16:33:41.617275,2800.00,6523.84,10451.86,2500.00,,1,5072,Individual loan,0.6241798110575534
